phase,regime,cell_id,method,gamma,theta,delta,landmark_interval,censoring_target,n,entry_sd,successful_replicates,bias,empirical_se,mean_estimated_se,se_ratio,coverage,coverage_mcse,power,power_mcse,mean_rows,mean_events,mean_subjects,mean_entry_x_correlation,mean_observed_censoring,mean_preentry_fraction_lm1,mean_preentry_fraction_lm2,mean_preentry_fraction_lm3,failed_replicates
confirmation,B,16,strict,-4,0,0,2,0.15,750,0.25,1000,-0.00468508169472737,0.133765028379171,0.134023200938432,1.00193004526212,0.943,0.00733150734842434,0.854,0.0111661989951818,1804.333,166.262,661.988,-0.997976002481311,0.153786666666667,0.143996564404335,0.0592000148481651,0.0195002159510743,0
confirmation,B,17,delayed,-4,0,0,4,0.15,750,0.25,1000,0.00184931589200134,0.117761195663037,0.11458861097472,0.973059167152183,0.94,0.00750999334220744,0.934,0.00785136930732468,1905.725,167.837,680.573,-0.997968829648162,0.152692,0.143464524625055,0.0187755220833745,0.00104003690400259,0
confirmation,B,17,naive,-4,0,0,4,0.15,750,0.25,1000,0.0150908462751841,0.115068777654252,0.111893080418241,0.972401747018173,0.938,0.00762600813007697,0.953,0.00669260786241059,1905.829,167.837,680.573,-0.997968829648162,0.152692,0.143464524625055,0.0187755220833745,0.00104003690400259,0
confirmation,B,17,strict,-4,0,0,4,0.15,750,0.25,1000,0.00040173936215503,0.121073922441223,0.117919323187097,0.973944849637978,0.938,0.00762600813007697,0.914,0.00886588969026798,1795.648,163.726,676.697,-0.997968829648162,0.152692,0.143464524625055,0.0187755220833745,0.00104003690400259,0
confirmation,B,18,delayed,-4,0,0,6,0.15,750,0.25,1000,0.00314831198294685,0.10376265582066,0.103393051276471,0.996437981070685,0.952,0.00675988165576884,0.979,0.00453420334788814,1865.201,164.588,684.292,-0.997973791138284,0.149744,0.142273278673134,0.00501845958466669,3.92549931122921e-05,0
confirmation,B,18,naive,-4,0,0,6,0.15,750,0.25,1000,0.0155860139897973,0.101490242158915,0.101177911248941,0.996922552322967,0.952,0.00675988165576884,0.989,0.00329833291224522,1865.298,164.588,684.292,-0.997973791138284,0.149744,0.142273278673134,0.00501845958466669,3.92549931122921e-05,0
confirmation,B,18,strict,-4,0,0,6,0.15,750,0.25,1000,0.0039641413716715,0.10702623223361,0.107054824817798,1.00026715491699,0.948,0.00702111102319284,0.974,0.00503229569878401,1764.807,160.621,679.287,-0.997973791138284,0.149744,0.142273278673134,0.00501845958466669,3.92549931122921e-05,0
confirmation,B,19,delayed,-4,0,0,2,0.3,750,0.25,1000,0.00408811187138201,0.144600913674463,0.138471999257482,0.957614967559755,0.942,0.00739161687318817,0.831,0.0118506961820815,1819.115,147.312,642.421,-0.997976712359278,0.298850666666667,0.151509094729159,0.06323765611002,0.0212151275135577,0
confirmation,B,19,naive,-4,0,0,2,0.3,750,0.25,1000,0.0232101245335932,0.139711199478658,0.133674970853396,0.956794955252074,0.941,0.00745110730026082,0.892,0.00981509042240569,1819.234,147.312,642.421,-0.997976712359278,0.298850666666667,0.151509094729159,0.06323765611002,0.0212151275135577,0
confirmation,B,19,strict,-4,0,0,2,0.3,750,0.25,1000,0.000643006949612339,0.149972202283944,0.145375758221103,0.96935135983308,0.947,0.00708456067798138,0.778,0.0131421459434904,1671.443,142.282,627.772,-0.997976712359278,0.298850666666667,0.151509094729159,0.06323765611002,0.0212151275135577,0
