diagnostic_cell_id,phase,regime,gamma,theta,delta,entry_sd,replicates,mean_entry_x_correlation,entry_x_detection_probability,entry_x_detection_mcse,mean_entry_u_correlation_oracle,structural_detection_probability,structural_detection_mcse,any_riskset_shift_detection_probability,any_riskset_shift_detection_mcse,combined_detection_probability,combined_detection_mcse,landmark_index,landmark,mean_naive_rows,mean_strict_rows,mean_preentry_rows,mean_preentry_fraction,mean_naive_minus_strict_mean_x,riskset_shift_detection_probability,riskset_shift_detection_mcse
19,frailty,C,0,0.5,-2,0.25,1000,0.0742530992280125,0.514,0.0158051890213309,-0.991645192207549,1,0,0.021,0.00453420334788814,0.525,0.0157916116973538,3,58,525.24,525.24,0,0,0,0,0
20,frailty,C,0,0.5,-2,4,1000,0.0173776394665472,0.072,0.00817410545564467,-0.446686381834164,1,0,0.075,0.00832916562447884,0.129,0.0105999528300837,1,50,649.313,541.626,107.687,0.165861789452068,0.00870540585150533,0.03,0.00539444158370447
20,frailty,C,0,0.5,-2,4,1000,0.0173776394665472,0.072,0.00817410545564467,-0.446686381834164,1,0,0.075,0.00832916562447884,0.129,0.0105999528300837,2,54,586.217,567.493,18.724,0.0319354363555297,0.00233729380611509,0.026,0.00503229569878401
20,frailty,C,0,0.5,-2,4,1000,0.0173776394665472,0.072,0.00817410545564467,-0.446686381834164,1,0,0.075,0.00832916562447884,0.129,0.0105999528300837,3,58,525.58,523.989,1.591,0.00302510744189287,0.000378446226642213,0.022,0.00463853425124791
21,frailty,C,0,0.5,-2,10,1000,-0.0167582205693521,0.065,0.00779583221984671,-0.206154712241579,1,0,0.049,0.00682634602111554,0.104,0.00965318600255895,1,50,623.981,403.117,220.864,0.353964705527735,0.00229333360500126,0.014,0.00371537346709587
21,frailty,C,0,0.5,-2,10,1000,-0.0167582205693521,0.065,0.00779583221984671,-0.206154712241579,1,0,0.049,0.00682634602111554,0.104,0.00965318600255895,2,54,575.648,447.045,128.603,0.223415358767082,0.00268078537867331,0.019,0.00431729081716764
21,frailty,C,0,0.5,-2,10,1000,-0.0167582205693521,0.065,0.00779583221984671,-0.206154712241579,1,0,0.049,0.00682634602111554,0.104,0.00965318600255895,3,58,524.564,460.242,64.322,0.12262501323367,0.0023299464697631,0.02,0.00442718872423573
22,frailty,C,0,0.5,0,0.25,1000,-0.00138332220418594,0.052,0.00702111102319284,-0.00287450309303972,0,0,0,0,0.052,0.00702111102319284,1,50,653.825,653.825,0,0,0,0,0
22,frailty,C,0,0.5,0,0.25,1000,-0.00138332220418594,0.052,0.00702111102319284,-0.00287450309303972,0,0,0,0,0.052,0.00702111102319284,2,54,586.856,586.856,0,0,0,0,0
22,frailty,C,0,0.5,0,0.25,1000,-0.00138332220418594,0.052,0.00702111102319284,-0.00287450309303972,0,0,0,0,0.052,0.00702111102319284,3,58,526.525,526.525,0,0,0,0,0
23,frailty,C,0,0.5,0,4,1000,-0.0141893853369582,0.081,0.00862780389206894,-0.0159854168998928,1,0,0.047,0.00669260786241059,0.121,0.0103130499853341,1,50,651.604,577.848,73.756,0.113194979054104,-0.00154784514955614,0.015,0.00384382621875651
23,frailty,C,0,0.5,0,4,1000,-0.0141893853369582,0.081,0.00862780389206894,-0.0159854168998928,1,0,0.047,0.00669260786241059,0.121,0.0103130499853341,2,54,587.676,579.434,8.242,0.0140300934941614,-0.000185527736977716,0.024,0.00483983470792134
23,frailty,C,0,0.5,0,4,1000,-0.0141893853369582,0.081,0.00862780389206894,-0.0159854168998928,1,0,0.047,0.00669260786241059,0.121,0.0103130499853341,3,58,527.673,527.26,0.413,0.000782377312088757,-5.52499516955929e-07,0.009,0.00298646948753876
24,frailty,C,0,0.5,0,10,1000,-0.0297237635755776,0.125,0.0104582503316759,-0.0405265514298831,1,0,0.043,0.00641490451994416,0.154,0.0114142016803629,1,50,625.689,418.724,206.965,0.330789216538764,-0.00459934883514421,0.013,0.00358203852575597
24,frailty,C,0,0.5,0,10,1000,-0.0297237635755776,0.125,0.0104582503316759,-0.0405265514298831,1,0,0.043,0.00641490451994416,0.154,0.0114142016803629,2,54,577.042,459.955,117.087,0.20290735692611,-0.00225243207271032,0.017,0.00408790900094413
24,frailty,C,0,0.5,0,10,1000,-0.0297237635755776,0.125,0.0104582503316759,-0.0405265514298831,1,0,0.043,0.00641490451994416,0.154,0.0114142016803629,3,58,525.959,469.515,56.444,0.107321630219406,-0.000715384495239141,0.02,0.00442718872423573
