entry_sd,replicate,outer_seed,bootstrap_seed,method,estimate,estimated_se,covered,reject_half,converged,error
4,635,710004635,910008635,strict,0.559317098902065,0.0377197139120241,1,0,1,""
4,636,710004636,810008636,naive,0.519593347788185,0.0313843904849363,0,0,1,""
4,636,710004636,910008636,strict,0.518679859025467,0.0314192446719476,0,0,1,""
4,637,710004637,810008637,naive,0.63727403765902,0.0308890372748038,1,1,1,""
4,637,710004637,910008637,strict,0.637326805022868,0.034573070370546,1,1,1,""
4,638,710004638,810008638,naive,0.668955766794791,0.032642859747395,1,1,1,""
4,638,710004638,910008638,strict,0.677333015395158,0.0281462394825731,0,1,1,""
4,639,710004639,810008639,naive,0.585129202822896,0.0276414969503947,1,1,1,""
4,639,710004639,910008639,strict,0.587033392397167,0.0290378056733421,1,1,1,""
4,640,710004640,810008640,naive,0.621829191878707,0.032420081852668,1,1,1,""
4,640,710004640,910008640,strict,0.613271228416807,0.0353106643802351,1,1,1,""
4,641,710004641,810008641,naive,0.605314315906408,0.037228074833137,1,1,1,""
4,641,710004641,910008641,strict,0.60688364138261,0.0367835363527509,1,1,1,""
4,642,710004642,810008642,naive,0.601693108258221,0.0323414225032938,1,1,1,""
4,642,710004642,910008642,strict,0.595331296373326,0.0311198236601573,1,1,1,""
4,643,710004643,810008643,naive,0.594397019707769,0.0337621098982843,1,1,1,""
4,643,710004643,910008643,strict,0.592933270938141,0.0364198137575646,1,1,1,""
4,644,710004644,810008644,naive,0.66383664566573,0.0330431120403907,1,1,1,""
4,644,710004644,910008644,strict,0.660601509313566,0.0322972719675374,1,1,1,""
4,645,710004645,810008645,naive,0.57405846942454,0.0296824851536942,1,1,1,""
4,645,710004645,910008645,strict,0.572715791006675,0.0372235364051077,1,0,1,""
4,646,710004646,810008646,naive,0.563053241004405,0.0345954422271158,1,0,1,""
4,646,710004646,910008646,strict,0.563537089908598,0.0326916420889526,1,0,1,""
4,647,710004647,810008647,naive,0.67703180989712,0.0322660493992065,0,1,1,""
4,647,710004647,910008647,strict,0.67457566478498,0.0278444038239421,0,1,1,""
4,648,710004648,810008648,naive,0.563124510276175,0.0331354248795929,1,0,1,""
4,648,710004648,910008648,strict,0.567526662280221,0.0295634197929512,1,1,1,""
4,649,710004649,810008649,naive,0.652008358625437,0.0357596208258143,1,1,1,""
4,649,710004649,910008649,strict,0.645490823184485,0.0363508728778858,1,1,1,""
4,650,710004650,810008650,naive,0.633083937640706,0.0298843501244589,1,1,1,""
4,650,710004650,910008650,strict,0.627324866097284,0.0309136346799426,1,1,1,""
4,651,710004651,810008651,naive,0.593848428314657,0.0349927470273216,1,1,1,""
4,651,710004651,910008651,strict,0.598396641439983,0.0358272940327113,1,1,1,""
4,652,710004652,810008652,naive,0.633400618863633,0.0331141491270752,1,1,1,""
4,652,710004652,910008652,strict,0.62445787844895,0.0337893981841079,1,1,1,""
4,653,710004653,810008653,naive,0.631190226466674,0.0276118308237884,1,1,1,""
4,653,710004653,910008653,strict,0.625497334425916,0.0329873544855948,1,1,1,""
4,654,710004654,810008654,naive,0.550119270317293,0.0367698644247648,1,0,1,""
4,654,710004654,910008654,strict,0.550418712587018,0.0392625951707301,1,0,1,""
4,655,710004655,810008655,naive,0.61809418359844,0.0377286706046209,1,1,1,""
4,655,710004655,910008655,strict,0.611565879789315,0.0374037097657495,1,1,1,""
4,656,710004656,810008656,naive,0.637554614765152,0.0330330268923794,1,1,1,""
4,656,710004656,910008656,strict,0.636092335245866,0.0376256058624203,1,1,1,""
4,657,710004657,810008657,naive,0.569876538719624,0.0343778710866437,1,1,1,""
4,657,710004657,910008657,strict,0.580784423579031,0.0357040201591518,1,1,1,""
4,658,710004658,810008658,naive,0.612046435870585,0.0342483170915993,1,1,1,""
4,658,710004658,910008658,strict,0.616553758576775,0.033718199779208,1,1,1,""
4,659,710004659,810008659,naive,0.592345091039707,0.0305076764270126,1,1,1,""
4,659,710004659,910008659,strict,0.592794130512322,0.032551124360864,1,1,1,""
4,660,710004660,810008660,naive,0.587868044743714,0.0320519220737082,1,1,1,""
4,660,710004660,910008660,strict,0.590891632331243,0.0317314943967822,1,1,1,""
4,661,710004661,810008661,naive,0.653677061729812,0.0341267846704111,1,1,1,""
4,661,710004661,910008661,strict,0.652616555992787,0.0333037374875149,1,1,1,""
4,662,710004662,810008662,naive,0.642275621624596,0.0322308294358838,1,1,1,""
4,662,710004662,910008662,strict,0.648622117470113,0.0282560384735218,1,1,1,""
4,663,710004663,810008663,naive,0.664216577985758,0.0301996372136714,1,1,1,""
4,663,710004663,910008663,strict,0.670404691246793,0.0278096633640103,0,1,1,""
4,664,710004664,810008664,naive,0.637684411260529,0.0304000484903317,1,1,1,""
4,664,710004664,910008664,strict,0.639027331780795,0.034829932251924,1,1,1,""
4,665,710004665,810008665,naive,0.591240395850444,0.035548661942817,1,1,1,""
4,665,710004665,910008665,strict,0.589955158714733,0.044197711792742,1,1,1,""
4,666,710004666,810008666,naive,0.632547057412163,0.0309232377380804,1,1,1,""
4,666,710004666,910008666,strict,0.631164940504854,0.0349782079338686,1,1,1,""
4,667,710004667,810008667,naive,0.673576455913036,0.0354300556795727,1,1,1,""
4,667,710004667,910008667,strict,0.664983875869086,0.0326234810854393,1,1,1,""
4,668,710004668,810008668,naive,0.565155692293035,0.0390946955051777,1,0,1,""
4,668,710004668,910008668,strict,0.565734290733423,0.033503480028926,1,1,1,""
4,669,710004669,810008669,naive,0.643100594918744,0.0377584390356506,1,1,1,""
4,669,710004669,910008669,strict,0.646560693433065,0.0358808403961241,1,1,1,""
4,670,710004670,810008670,naive,0.611180082012206,0.0393060029862103,1,1,1,""
4,670,710004670,910008670,strict,0.624546764358306,0.0373836505628989,1,1,1,""
4,671,710004671,810008671,naive,0.616886602476522,0.0287524542687854,1,1,1,""
4,671,710004671,910008671,strict,0.613621909499343,0.0306389904304025,1,1,1,""
4,672,710004672,810008672,naive,0.640955182312361,0.0316972244367848,1,1,1,""
4,672,710004672,910008672,strict,0.63485454353135,0.0305278884272904,1,1,1,""
4,673,710004673,810008673,naive,0.589622063743137,0.0294654746835584,1,1,1,""
4,673,710004673,910008673,strict,0.588867730303729,0.0292000375491249,1,1,1,""
4,674,710004674,810008674,naive,0.572204567194768,0.0306755441468975,1,1,1,""
4,674,710004674,910008674,strict,0.5740104163515,0.0319096681001697,1,1,1,""
4,675,710004675,810008675,naive,0.662211444439462,0.0325915453576391,1,1,1,""
4,675,710004675,910008675,strict,0.66055069868724,0.0277447365097866,1,1,1,""
4,676,710004676,810008676,naive,0.602595738961087,0.0361994328881258,1,1,1,""
4,676,710004676,910008676,strict,0.603296440721114,0.0321018889937345,1,1,1,""
4,677,710004677,810008677,naive,0.649253553100353,0.0297601590774774,1,1,1,""
4,677,710004677,910008677,strict,0.647757517709045,0.0302157126155238,1,1,1,""
4,678,710004678,810008678,naive,0.62504863239317,0.0337199097504119,1,1,1,""
4,678,710004678,910008678,strict,0.622152787615193,0.0303856168517608,1,1,1,""
4,679,710004679,810008679,naive,0.662998840022785,0.0343883098433534,1,1,1,""
4,679,710004679,910008679,strict,0.65493191827605,0.0310424264582112,1,1,1,""
4,680,710004680,810008680,naive,0.640579059446626,0.0269337045267767,1,1,1,""
4,680,710004680,910008680,strict,0.63705757066306,0.0330809748741117,1,1,1,""
4,681,710004681,810008681,naive,0.615349440530899,0.0379419009010501,1,1,1,""
4,681,710004681,910008681,strict,0.619257046199902,0.0399159098197795,1,1,1,""
4,682,710004682,810008682,naive,0.617912868671024,0.0323569375021036,1,1,1,""
4,682,710004682,910008682,strict,0.621439664664607,0.033533995857737,1,1,1,""
4,683,710004683,810008683,naive,0.629869323393319,0.0317003808031286,1,1,1,""
4,683,710004683,910008683,strict,0.626024734503848,0.0299644052295043,1,1,1,""
4,684,710004684,810008684,naive,0.614507472197607,0.0367840603338824,1,1,1,""
4,684,710004684,910008684,strict,0.618326981808412,0.0325958075592642,1,1,1,""
4,685,710004685,810008685,naive,0.602542148319009,0.038368564663686,1,1,1,""
4,685,710004685,910008685,strict,0.59850264302932,0.0408659281788228,1,1,1,""
4,686,710004686,810008686,naive,0.632540425640677,0.0275285582600957,1,1,1,""
4,686,710004686,910008686,strict,0.630273953949253,0.0313728577181579,1,1,1,""
4,687,710004687,810008687,naive,0.631783513321587,0.03040657212465,1,1,1,""
4,687,710004687,910008687,strict,0.63314049192936,0.037337485864779,1,1,1,""
4,688,710004688,810008688,naive,0.57458858468922,0.0360111322803987,1,1,1,""
4,688,710004688,910008688,strict,0.578361925986848,0.0356449898039517,1,1,1,""
4,689,710004689,810008689,naive,0.587077911112808,0.0273717738968341,1,1,1,""
4,689,710004689,910008689,strict,0.586125363117559,0.0310188377417778,1,1,1,""
4,690,710004690,810008690,naive,0.561419297155175,0.034462417356294,1,0,1,""
4,690,710004690,910008690,strict,0.551334396548971,0.0346180519148622,1,0,1,""
4,691,710004691,810008691,naive,0.627816458988582,0.0339846948905882,1,1,1,""
4,691,710004691,910008691,strict,0.630228786843229,0.0393660654878771,1,1,1,""
4,692,710004692,810008692,naive,0.671744410900099,0.0315710116101559,1,1,1,""
4,692,710004692,910008692,strict,0.668563083281575,0.0320104783181098,1,1,1,""
4,693,710004693,810008693,naive,0.607755384683285,0.0325951485629213,1,1,1,""
4,693,710004693,910008693,strict,0.610103010912224,0.0375344843117863,1,1,1,""
4,694,710004694,810008694,naive,0.611704611511895,0.0289873132647331,1,1,1,""
4,694,710004694,910008694,strict,0.614465185500012,0.0320151781412183,1,1,1,""
4,695,710004695,810008695,naive,0.659170492374678,0.0293260884325213,1,1,1,""
4,695,710004695,910008695,strict,0.643965190864741,0.0376282291488892,1,1,1,""
4,696,710004696,810008696,naive,0.584971647857575,0.0300614136541051,1,1,1,""
4,696,710004696,910008696,strict,0.587603315747851,0.0285116486319507,1,1,1,""
4,697,710004697,810008697,naive,0.561622987032943,0.035833192210455,1,0,1,""
4,697,710004697,910008697,strict,0.564986827721498,0.0350320884917127,1,0,1,""
4,698,710004698,810008698,naive,0.628422847871123,0.0335904359193755,1,1,1,""
4,698,710004698,910008698,strict,0.628875418316023,0.0329539963308355,1,1,1,""
4,699,710004699,810008699,naive,0.57029213935119,0.0422227663260287,1,0,1,""
4,699,710004699,910008699,strict,0.557566256462118,0.0381889457863259,1,0,1,""
4,700,710004700,810008700,naive,0.622865655085473,0.0289193230674645,1,1,1,""
4,700,710004700,910008700,strict,0.621439701671623,0.0338287959491589,1,1,1,""
4,701,710004701,810008701,naive,0.620010635069206,0.0356842516890741,1,1,1,""
4,701,710004701,910008701,strict,0.627206635213098,0.0340030839540037,1,1,1,""
4,702,710004702,810008702,naive,0.564825463541653,0.032819871784067,1,1,1,""
4,702,710004702,910008702,strict,0.569394929068077,0.0292268572578436,1,1,1,""
4,703,710004703,810008703,naive,0.608327389824113,0.0348482343091137,1,1,1,""
4,703,710004703,910008703,strict,0.624569306761367,0.0308107532216985,1,1,1,""
4,704,710004704,810008704,naive,0.6355890715766,0.0368226447777032,1,1,1,""
4,704,710004704,910008704,strict,0.626927861166727,0.0371368696287872,1,1,1,""
4,705,710004705,810008705,naive,0.551122584814488,0.033265206138511,1,0,1,""
4,705,710004705,910008705,strict,0.55068243789052,0.0320395152204159,1,0,1,""
4,706,710004706,810008706,naive,0.569339460285713,0.0361892659260963,1,0,1,""
4,706,710004706,910008706,strict,0.562164283912337,0.0366633941689263,1,0,1,""
