cell_id,method,successful_replicates,bias,empirical_se,mean_estimated_se,se_ratio,coverage,coverage_mcse,power,power_mcse,mean_rows,mean_events,mean_subjects,mean_observed_entry_sd,mean_observed_censoring,landmark_interval,censoring_target,entry_sd,n,study_end,censor_rate,failed_replicates
20,strict,1000,-0.00090336795892232,0.122474402987629,0.118327925331697,0.966144128448205,0.93,0.00806845710157772,0.918,0.00867617427210865,1761.505,151.905,652.898,0.249506525520011,0.301698666666667,4,0.3,0.25,750,68,0.017730565301616,0
21,delayed,1000,0.00390681153847209,0.110800154055782,0.107293107198247,0.96834799655811,0.941,0.00745110730026082,0.964,0.00589101010014412,1715.856,147.993,660.227,0.249750160025625,0.301737333333333,6,0.3,0.25,750,72,0.0153983821527663,0
21,naive,1000,0.00390681153847209,0.110800154055782,0.107293107198247,0.96834799655811,0.941,0.00745110730026082,0.964,0.00589101010014412,1715.856,147.993,660.227,0.249750160025625,0.301737333333333,6,0.3,0.25,750,72,0.0153983821527663,0
21,strict,1000,0.00390681153847209,0.110800154055782,0.107293107198247,0.96834799655811,0.941,0.00745110730026082,0.964,0.00589101010014412,1715.856,147.993,660.227,0.249750160025625,0.301737333333333,6,0.3,0.25,750,72,0.0153983821527663,0
22,delayed,1000,0.00300712405720198,0.148022172478989,0.148662929544926,1.00432879112099,0.944,0.00727076337120113,0.781,0.0130781879478772,1578.456,121.82,580.7,0.249507594400303,0.498845333333333,2,0.5,0.25,750,64,0.040899845313492,0
22,naive,1000,0.00300712405720198,0.148022172478989,0.148662929544926,1.00432879112099,0.944,0.00727076337120113,0.781,0.0130781879478772,1578.456,121.82,580.7,0.249507594400303,0.498845333333333,2,0.5,0.25,750,64,0.040899845313492,0
22,strict,1000,0.00300712405720198,0.148022172478989,0.148662929544926,1.00432879112099,0.944,0.00727076337120113,0.781,0.0130781879478772,1578.456,121.82,580.7,0.249507594400303,0.498845333333333,2,0.5,0.25,750,64,0.040899845313492,0
23,delayed,1000,-0.00519500526346079,0.132912780327529,0.132567147627779,0.997399552556962,0.946,0.00714730718522718,0.861,0.0109397897603199,1521.093,119.608,599.788,0.250147861396112,0.499666666666667,4,0.5,0.25,750,68,0.0347418598300612,0
23,naive,1000,-0.00519500526346079,0.132912780327529,0.132567147627779,0.997399552556962,0.946,0.00714730718522718,0.861,0.0109397897603199,1521.093,119.608,599.788,0.250147861396112,0.499666666666667,4,0.5,0.25,750,68,0.0347418598300612,0
23,strict,1000,-0.00519500526346079,0.132912780327529,0.132567147627779,0.997399552556962,0.946,0.00714730718522718,0.861,0.0109397897603199,1521.093,119.608,599.788,0.250147861396112,0.499666666666667,4,0.5,0.25,750,68,0.0347418598300612,0
24,delayed,1000,0.00206473324404405,0.122664098077801,0.118902271392182,0.969332292459098,0.949,0.00695693898205238,0.916,0.00877177291087725,1476.805,119.444,614.252,0.249905592907463,0.497169333333333,6,0.5,0.25,750,72,0.030013776471362,0
24,naive,1000,0.00206473324404405,0.122664098077801,0.118902271392182,0.969332292459098,0.949,0.00695693898205238,0.916,0.00877177291087725,1476.805,119.444,614.252,0.249905592907463,0.497169333333333,6,0.5,0.25,750,72,0.030013776471362,0
24,strict,1000,0.00206473324404405,0.122664098077801,0.118902271392182,0.969332292459098,0.949,0.00695693898205238,0.916,0.00877177291087725,1476.805,119.444,614.252,0.249905592907463,0.497169333333333,6,0.5,0.25,750,72,0.030013776471362,0
25,delayed,1000,0.000121151892392446,0.0842016661044079,0.0828292975951174,0.983701409095768,0.945,0.00720936890441875,0.998,0.00141279864099595,4198.529,392.852,1427.258,0.249910254991253,0,2,0,0.25,1500,64,0,0
25,naive,1000,0.000121151892392446,0.0842016661044079,0.0828292975951174,0.983701409095768,0.945,0.00720936890441875,0.998,0.00141279864099595,4198.529,392.852,1427.258,0.249910254991253,0,2,0,0.25,1500,64,0,0
25,strict,1000,0.000121151892392446,0.0842016661044079,0.0828292975951174,0.983701409095768,0.945,0.00720936890441875,0.998,0.00141279864099595,4198.529,392.852,1427.258,0.249910254991253,0,2,0,0.25,1500,64,0,0
26,delayed,1000,-0.00232671446994532,0.0713065051327545,0.074318627342678,1.04224189930941,0.955,0.00655553201502365,1,0,4117.52,385.79,1427.111,0.249667012022426,0,4,0,0.25,1500,68,0,0
26,naive,1000,-0.00232671446994532,0.0713065051327545,0.074318627342678,1.04224189930941,0.955,0.00655553201502365,1,0,4117.52,385.79,1427.111,0.249667012022426,0,4,0,0.25,1500,68,0,0
26,strict,1000,-0.00232671446994532,0.0713065051327545,0.074318627342678,1.04224189930941,0.955,0.00655553201502365,1,0,4117.52,385.79,1427.111,0.249667012022426,0,4,0,0.25,1500,68,0,0
