auc_cell_id,phase,regime,gamma,theta,delta,entry_sd,method,strict_target_summary_auc,successful_replicates,bias,empirical_se,mean_estimated_se,se_ratio,coverage,coverage_mcse,power_against_half,power_mcse,mean_rows,mean_events,mean_subjects,failed_replicates
9,focused,B,-1,0,0,10,delayed,0.612847276397413,1000,0.0202646514894708,0.0341613443164913,0.0335684550966051,0.982644441202509,0.896,0.00965318600255895,0.969,0.00548078461536303,1669.256,131.151,623.579,0
9,focused,B,-1,0,0,10,naive,0.612847276397413,1000,0.0048556542802994,0.035862557560123,0.035541387389528,0.991044415333276,0.945,0.00720936890441875,0.883,0.010164201887015,1719.411,131.151,623.579,0
9,focused,B,-1,0,0,10,strict,0.612847276397413,1000,-7.60361459112829e-05,0.0381797129374172,0.0376128405045315,0.98515252239285,0.942,0.00739161687318817,0.823,0.0120694241784768,1328.295,113.522,555.806,0
10,focused,A,0,0,0,0.25,delayed,0.613004775821511,1000,0.000347648304157647,0.0333824340502658,0.033567496551142,1.00554370902366,0.944,0.00727076337120113,0.911,0.00900438781928011,1764.788,151.297,653.602,0
10,focused,A,0,0,0,0.25,naive,0.613004775821511,1000,0.000347648304157647,0.0333824340502658,0.0333720864026469,0.999690027168081,0.943,0.00733150734842434,0.916,0.00877177291087725,1764.788,151.297,653.602,0
10,focused,A,0,0,0,0.25,strict,0.613004775821511,1000,0.000347648304157647,0.0333824340502658,0.0334417769979414,1.00177766988429,0.944,0.00727076337120113,0.914,0.00886588969026798,1764.788,151.297,653.602,0
11,focused,A,0,0,0,4,delayed,0.613004775821511,1000,0.00155710337570055,0.0342586907539625,0.0333937321653994,0.97475214114938,0.933,0.00790638982089803,0.916,0.00877177291087725,1759.982,149.071,649.836,0
11,focused,A,0,0,0,4,naive,0.613004775821511,1000,0.000378406601943685,0.0344756579971015,0.0336563955770417,0.976236496483152,0.929,0.00812151463706124,0.903,0.00935900635751467,1760.034,149.071,649.836,0
11,focused,A,0,0,0,4,strict,0.613004775821511,1000,0.00038413419981039,0.0346352153274696,0.0339439624881248,0.980041907266661,0.935,0.0077958322198467,0.901,0.00944452222190196,1677.356,143.254,644.503,0
12,focused,A,0,0,0,10,delayed,0.613004775821511,1000,0.0183261541098688,0.0332143354296775,0.0333566804315305,1.00428564955498,0.897,0.00961202372032029,0.97,0.00539444158370447,1681.813,133.828,626.585,0
12,focused,A,0,0,0,10,naive,0.613004775821511,1000,-0.000347661230311014,0.0354508142246842,0.0352152327653766,0.993354695386839,0.942,0.00739161687318817,0.875,0.0104582503316759,1730.097,133.828,626.585,0
12,focused,A,0,0,0,10,strict,0.613004775821511,1000,-0.000553760738549881,0.0382373963499826,0.0372822844895364,0.975021524695243,0.936,0.00773976743836661,0.816,0.0122533260790693,1347.859,115.691,561.092,0
13,frailty,C,0,0,-2,0.25,delayed,0.613001625081437,1000,0.00167599874636844,0.0332073496310351,0.0334155523941501,1.00626977959483,0.941,0.00745110730026082,0.923,0.00843036179532053,1761.671,150.987,653.22,0
13,frailty,C,0,0,-2,0.25,naive,0.613001625081437,1000,0.00166059032037278,0.0331914543832865,0.0334351197022469,1.00734120644871,0.946,0.00714730718522718,0.921,0.00852988862764339,1761.671,150.987,653.22,0
13,frailty,C,0,0,-2,0.25,strict,0.613001625081437,1000,0.00162237027207565,0.0332316325006624,0.0334412909615559,1.0063090027518,0.942,0.00739161687318817,0.918,0.00867617427210865,1757.056,150.6,652.808,0
14,frailty,C,0,0,-2,4,delayed,0.613001625081437,1000,0.00014700969212322,0.0319637434170988,0.0335645579456827,1.05008219806093,0.96,0.00619677335393187,0.91,0.00904986187739901,1760.241,148.365,648.755,0
14,frailty,C,0,0,-2,4,naive,0.613001625081437,1000,-0.00170887690090159,0.032116390683854,0.0336223185127822,1.04688969703203,0.968,0.00556560868189635,0.905,0.00927227048785787,1760.494,148.365,648.755,0
14,frailty,C,0,0,-2,4,strict,0.613001625081437,1000,-0.00151154866622975,0.0326225562912878,0.0340565899504199,1.04395834729589,0.965,0.00581162627841812,0.899,0.00952885092757778,1652.897,140.873,641.761,0
15,frailty,C,0,0,-2,10,delayed,0.613001625081437,1000,0.0173504117558377,0.0341831981491933,0.0334871797371607,0.979638581241146,0.895,0.00969407035254026,0.965,0.00581162627841812,1672.958,132.519,624.468,0
15,frailty,C,0,0,-2,10,naive,0.613001625081437,1000,-0.00163553282567705,0.0359320286858644,0.0353392190087261,0.983501914619937,0.948,0.00702111102319284,0.858,0.0110379345894058,1723.181,132.519,624.468,0
15,frailty,C,0,0,-2,10,strict,0.613001625081437,1000,-0.00162897446622676,0.0382150396449009,0.0375507541708141,0.982617171661749,0.94,0.00750999334220744,0.821,0.0121226647235664,1335.643,114.344,557.144,0
16,frailty,C,0,0,0,0.25,delayed,0.613004775821511,1000,0.00130557007787556,0.0338742030797987,0.0336642286781316,0.993801347852449,0.948,0.00702111102319284,0.905,0.00927227048785787,1760.383,151.373,652.96,0
16,frailty,C,0,0,0,0.25,naive,0.613004775821511,1000,0.00130557007787556,0.0338742030797987,0.0334904940370264,0.98867252930295,0.949,0.00695693898205238,0.906,0.00922843432007835,1760.383,151.373,652.96,0
16,frailty,C,0,0,0,0.25,strict,0.613004775821511,1000,0.00130557007787556,0.0338742030797987,0.0337182731238881,0.995396793378628,0.948,0.00702111102319284,0.9,0.00948683298050514,1760.383,151.373,652.96,0
17,frailty,C,0,0,0,4,delayed,0.613004775821511,1000,0.000150407590269565,0.0340574709078064,0.0334464567050652,0.982059319542687,0.944,0.00727076337120113,0.911,0.00900438781928011,1761.957,149.86,650.381,0
17,frailty,C,0,0,0,4,naive,0.613004775821511,1000,-0.000795562146368715,0.0342892874381134,0.0336416985079941,0.98111395778381,0.948,0.00702111102319284,0.894,0.00973468027209934,1761.998,149.86,650.381,0
17,frailty,C,0,0,0,4,strict,0.613004775821511,1000,-0.000837561687393681,0.0348739432458844,0.0337082302702446,0.966573525470844,0.94,0.00750999334220744,0.892,0.00981509042240569,1679.398,143.845,644.994,0
18,frailty,C,0,0,0,10,delayed,0.613004775821511,1000,0.0175906134418198,0.034306087607314,0.033595908083201,0.979298731693275,0.906,0.00922843432007835,0.961,0.00612200947402077,1673.903,132.739,624.065,0
18,frailty,C,0,0,0,10,naive,0.613004775821511,1000,-0.000840624787409559,0.0357516092161341,0.0356318754902225,0.996650955620271,0.94,0.00750999334220744,0.869,0.0106695360723885,1721.668,132.739,624.065,0
18,frailty,C,0,0,0,10,strict,0.613004775821511,1000,-0.000809877409484881,0.038047881113245,0.037501569353741,0.985641466922219,0.938,0.00762600813007697,0.83,0.0118785521003193,1341.174,114.786,558.997,0
19,frailty,C,0,0.5,-2,0.25,delayed,0.664382063509051,1000,0.000860277629411943,0.0331331518825741,0.033012464189764,0.996357494353758,0.946,0.00714730718522718,0.997,0.00172945077987204,1767.696,143.036,655.604,0
19,frailty,C,0,0.5,-2,0.25,naive,0.664382063509051,1000,0.000870511972995308,0.0331341718580751,0.0329804917074875,0.995361883458388,0.943,0.00733150734842434,0.997,0.00172945077987204,1767.696,143.036,655.604,0
19,frailty,C,0,0.5,-2,0.25,strict,0.664382063509051,1000,0.00021937422869995,0.0331740265844713,0.0329218327181345,0.992397851804495,0.938,0.00762600813007697,0.997,0.00172945077987204,1760.598,142.863,655.097,0
20,frailty,C,0,0.5,-2,4,delayed,0.663593930137789,1000,0.00546140641658168,0.0342726154102371,0.0327438498505723,0.955393962749392,0.915,0.00881901355027874,0.998,0.00141279864099595,1760.737,141.834,649.313,0
