landmark_index,landmark,naive_rows,strict_rows,preentry_rows,preentry_fraction,naive_minus_strict_mean_x,preentry_vs_strict_p,riskset_shift_detected,diagnostic_cell_id,phase,regime,replicate,seed,gamma,theta,delta,entry_sd,entry_x_correlation,entry_x_p,entry_x_detected,entry_u_correlation_oracle,structural_difference_detected,any_riskset_shift_detected,combined_observed_diagnostic
2,54,587,468,119,0.202725724020443,-0.0129910745423832,0.553897781036663,0,15,frailty,C,679,1600006679,0,0,-2,10,-0.00738672099191413,0.839948756652021,0,-0.178550532848241,1,0,0
3,58,531,480,51,0.096045197740113,-0.00923299049611279,0.55487774031169,0,15,frailty,C,679,1600006679,0,0,-2,10,-0.00738672099191413,0.839948756652021,0,-0.178550532848241,1,0,0
1,50,627,423,204,0.325358851674641,0.0116050617730212,0.642854045751211,0,15,frailty,C,680,1600006680,0,0,-2,10,-0.0140396190242974,0.701075980132475,0,-0.13469988127081,1,0,0
2,54,574,460,114,0.198606271777004,-8.56419095076888e-05,0.996401215805964,0,15,frailty,C,680,1600006680,0,0,-2,10,-0.0140396190242974,0.701075980132475,0,-0.13469988127081,1,0,0
3,58,533,466,67,0.125703564727955,0.00558957423180442,0.716450410335923,0,15,frailty,C,680,1600006680,0,0,-2,10,-0.0140396190242974,0.701075980132475,0,-0.13469988127081,1,0,0
1,50,630,420,210,0.333333333333333,0.00250933002191298,0.927504986361227,0,15,frailty,C,681,1600006681,0,0,-2,10,-0.0623342188877097,0.0880258219977902,0,-0.197289997882128,1,0,0
2,54,571,446,125,0.218914185639229,0.00226442467795007,0.921333524325437,0,15,frailty,C,681,1600006681,0,0,-2,10,-0.0623342188877097,0.0880258219977902,0,-0.197289997882128,1,0,0
3,58,521,462,59,0.113243761996161,0.00241710249694449,0.894885984508476,0,15,frailty,C,681,1600006681,0,0,-2,10,-0.0623342188877097,0.0880258219977902,0,-0.197289997882128,1,0,0
1,50,609,405,204,0.334975369458128,0.0240049788732039,0.391655286397267,0,15,frailty,C,682,1600006682,0,0,-2,10,-0.0083134933818096,0.820191583344893,0,-0.239283755844697,1,0,0
2,54,569,447,122,0.214411247803163,0.0230003699972334,0.273501260048894,0,15,frailty,C,682,1600006682,0,0,-2,10,-0.0083134933818096,0.820191583344893,0,-0.239283755844697,1,0,0
3,58,532,477,55,0.103383458646617,0.0120019255523535,0.38107545047006,0,15,frailty,C,682,1600006682,0,0,-2,10,-0.0083134933818096,0.820191583344893,0,-0.239283755844697,1,0,0
1,50,614,403,211,0.343648208469055,-0.03242227939375,0.246653079645782,0,15,frailty,C,683,1600006683,0,0,-2,10,-0.118610819007733,0.00113645069661477,1,-0.173857746436672,1,0,1
2,54,564,457,107,0.189716312056738,-0.0292673816572673,0.131853658306393,0,15,frailty,C,683,1600006683,0,0,-2,10,-0.118610819007733,0.00113645069661477,1,-0.173857746436672,1,0,1
3,58,515,462,53,0.102912621359223,-0.0127717089553268,0.295724111678749,0,15,frailty,C,683,1600006683,0,0,-2,10,-0.118610819007733,0.00113645069661477,1,-0.173857746436672,1,0,1
1,50,605,395,210,0.347107438016529,-0.0133457393923472,0.653005000209239,0,15,frailty,C,684,1600006684,0,0,-2,10,-0.0679602698320982,0.0628550644498146,0,-0.152134795011569,1,0,0
2,54,557,438,119,0.213644524236984,0.00680435633271817,0.775158613349921,0,15,frailty,C,684,1600006684,0,0,-2,10,-0.0679602698320982,0.0628550644498146,0,-0.152134795011569,1,0,0
3,58,517,458,59,0.114119922630561,-0.0119621191119358,0.527961131349893,0,15,frailty,C,684,1600006684,0,0,-2,10,-0.0679602698320982,0.0628550644498146,0,-0.152134795011569,1,0,0
1,50,637,437,200,0.313971742543171,-0.0300175009932459,0.245351014345731,0,15,frailty,C,685,1600006685,0,0,-2,10,-0.0222911875505891,0.542175300977799,0,-0.192272761634753,1,0,0
2,54,587,474,113,0.192504258943782,0.00660641080945729,0.716515295327463,0,15,frailty,C,685,1600006685,0,0,-2,10,-0.0222911875505891,0.542175300977799,0,-0.192272761634753,1,0,0
3,58,529,466,63,0.119092627599244,-0.000749816498547773,0.957542913791127,0,15,frailty,C,685,1600006685,0,0,-2,10,-0.0222911875505891,0.542175300977799,0,-0.192272761634753,1,0,0
1,50,617,420,197,0.319286871961102,-0.00709175600354331,0.789539242605857,0,15,frailty,C,686,1600006686,0,0,-2,10,-0.0532508543802758,0.145134021011192,0,-0.202466112385749,1,0,0
2,54,577,458,119,0.206239168110919,0.00837981823337591,0.683833030800344,0,15,frailty,C,686,1600006686,0,0,-2,10,-0.0532508543802758,0.145134021011192,0,-0.202466112385749,1,0,0
3,58,529,465,64,0.120982986767486,0.000818893098420537,0.958758940841419,0,15,frailty,C,686,1600006686,0,0,-2,10,-0.0532508543802758,0.145134021011192,0,-0.202466112385749,1,0,0
1,50,605,406,199,0.328925619834711,-0.0219877534438139,0.426008018933864,0,15,frailty,C,687,1600006687,0,0,-2,10,-0.0540934187742542,0.138867351214831,0,-0.153766483375533,1,0,0
2,54,557,441,116,0.208258527827648,-0.0166480508219419,0.425716193420058,0,15,frailty,C,687,1600006687,0,0,-2,10,-0.0540934187742542,0.138867351214831,0,-0.153766483375533,1,0,0
3,58,505,454,51,0.100990099009901,-0.00114512223307706,0.933305071815265,0,15,frailty,C,687,1600006687,0,0,-2,10,-0.0540934187742542,0.138867351214831,0,-0.153766483375533,1,0,0
1,50,616,414,202,0.327922077922078,-0.0132294958367458,0.622128262826666,0,15,frailty,C,688,1600006688,0,0,-2,10,-0.0557276459162739,0.127308009448265,0,-0.237804472731372,1,0,0
2,54,563,448,115,0.204262877442274,0.00535625246281571,0.804652954752038,0,15,frailty,C,688,1600006688,0,0,-2,10,-0.0557276459162739,0.127308009448265,0,-0.237804472731372,1,0,0
3,58,508,455,53,0.104330708661417,0.0220327943781788,0.0970096086190328,0,15,frailty,C,688,1600006688,0,0,-2,10,-0.0557276459162739,0.127308009448265,0,-0.237804472731372,1,0,0
1,50,630,413,217,0.344444444444444,-0.00637900859248255,0.817487143749777,0,15,frailty,C,689,1600006689,0,0,-2,10,-0.0340607944999152,0.351590995337879,0,-0.202841722848519,1,0,0
2,54,585,461,124,0.211965811965812,0.0414280678669116,0.0378653469893117,0,15,frailty,C,689,1600006689,0,0,-2,10,-0.0340607944999152,0.351590995337879,0,-0.202841722848519,1,0,0
3,58,526,469,57,0.108365019011407,0.026233404840468,0.0548843596371144,0,15,frailty,C,689,1600006689,0,0,-2,10,-0.0340607944999152,0.351590995337879,0,-0.202841722848519,1,0,0
1,50,631,427,204,0.323296354992076,-0.0492503032050516,0.0515185124768703,0,15,frailty,C,690,1600006690,0,0,-2,10,-0.0653702500536305,0.0735880847666221,0,-0.153109537740584,1,0,0
2,54,586,479,107,0.18259385665529,-0.00608041208511342,0.73910117374753,0,15,frailty,C,690,1600006690,0,0,-2,10,-0.0653702500536305,0.0735880847666221,0,-0.153109537740584,1,0,0
3,58,536,486,50,0.0932835820895522,-0.00535934053313889,0.653632233622012,0,15,frailty,C,690,1600006690,0,0,-2,10,-0.0653702500536305,0.0735880847666221,0,-0.153109537740584,1,0,0
1,50,628,405,223,0.355095541401274,-0.0585637523377018,0.0342828403755306,0,15,frailty,C,691,1600006691,0,0,-2,10,-0.0178814685680554,0.624893750841049,0,-0.167641665961125,1,0,0
2,54,581,447,134,0.230636833046472,-0.0204607157545199,0.326801987930794,0,15,frailty,C,691,1600006691,0,0,-2,10,-0.0178814685680554,0.624893750841049,0,-0.167641665961125,1,0,0
3,58,536,468,68,0.126865671641791,0.000509529583660351,0.974303866896767,0,15,frailty,C,691,1600006691,0,0,-2,10,-0.0178814685680554,0.624893750841049,0,-0.167641665961125,1,0,0
1,50,624,416,208,0.333333333333333,-0.0498251333962199,0.0804604596410408,0,15,frailty,C,692,1600006692,0,0,-2,10,-0.104006424845235,0.00435383159524555,1,-0.208096132834013,1,0,1
