auc_cell_id,phase,regime,gamma,theta,delta,entry_sd,landmark,strict_target_auc,coarse_auc,quadrature_difference,strict_target_summary_auc
13,frailty,C,0,0,-2,0.25,54,0.6129991696668,0.61298969289923,9.47676756990479e-06,0.613001625081437
13,frailty,C,0,0,-2,0.25,58,0.612660415075274,0.612650912891735,9.50218353923393e-06,0.613001625081437
14,frailty,C,0,0,-2,4,50,0.613345290502236,0.613335839558402,9.45094383431044e-06,0.613001625081437
14,frailty,C,0,0,-2,4,54,0.6129991696668,0.61298969289923,9.47676756990479e-06,0.613001625081437
14,frailty,C,0,0,-2,4,58,0.612660415075274,0.612650912891735,9.50218353923393e-06,0.613001625081437
15,frailty,C,0,0,-2,10,50,0.613345290502236,0.613335839558402,9.45094383431044e-06,0.613001625081437
15,frailty,C,0,0,-2,10,54,0.6129991696668,0.61298969289923,9.47676756990479e-06,0.613001625081437
15,frailty,C,0,0,-2,10,58,0.612660415075274,0.612650912891735,9.50218353923393e-06,0.613001625081437
16,frailty,C,0,0,0,0.25,50,0.61334843270369,0.613348409080463,2.36232270411918e-08,0.613004775821511
16,frailty,C,0,0,0,0.25,54,0.613002320452096,0.613002296764389,2.36877066850383e-08,0.613004775821511
16,frailty,C,0,0,0,0.25,58,0.612663574308746,0.61266355055758,2.37511668110813e-08,0.613004775821511
17,frailty,C,0,0,0,4,50,0.61334843270369,0.613348409080463,2.36232270411918e-08,0.613004775821511
17,frailty,C,0,0,0,4,54,0.613002320452096,0.613002296764389,2.36877066850383e-08,0.613004775821511
17,frailty,C,0,0,0,4,58,0.612663574308746,0.61266355055758,2.37511668110813e-08,0.613004775821511
18,frailty,C,0,0,0,10,50,0.61334843270369,0.613348409080463,2.36232270411918e-08,0.613004775821511
18,frailty,C,0,0,0,10,54,0.613002320452096,0.613002296764389,2.36877066850383e-08,0.613004775821511
18,frailty,C,0,0,0,10,58,0.612663574308746,0.61266355055758,2.37511668110813e-08,0.613004775821511
19,frailty,C,0,0.5,-2,0.25,50,0.664175868303855,0.664175862472081,5.83177361956899e-09,0.664382063509051
19,frailty,C,0,0.5,-2,0.25,54,0.66494064895967,0.664940643168806,5.79086367746839e-09,0.664382063509051
19,frailty,C,0,0.5,-2,0.25,58,0.664029673263628,0.664029667482776,5.78085235236614e-09,0.664382063509051
20,frailty,C,0,0.5,-2,4,50,0.662914939541005,0.662914933556836,5.98416860508877e-09,0.663593930137789
20,frailty,C,0,0.5,-2,4,54,0.663981005119116,0.663980999270546,5.84857018370855e-09,0.663593930137789
20,frailty,C,0,0.5,-2,4,58,0.663885845753247,0.663885839946784,5.80646353220971e-09,0.663593930137789
21,frailty,C,0,0.5,-2,10,50,0.664981018707208,0.664981012886166,5.82104198176836e-09,0.664289972488506
21,frailty,C,0,0.5,-2,10,54,0.664279456119906,0.664279450295888,5.82401760151896e-09,0.664289972488506
21,frailty,C,0,0.5,-2,10,58,0.663609442638405,0.66360943681094,5.82746451094351e-09,0.664289972488506
22,frailty,C,0,0.5,0,0.25,50,0.665896382210334,0.665896376490483,5.7198507041889e-09,0.664956210136296
22,frailty,C,0,0.5,0,0.25,54,0.664942574934919,0.664942569183931,5.75098857424905e-09,0.664956210136296
22,frailty,C,0,0.5,0,0.25,58,0.664029673263634,0.664029667482784,5.78084913271937e-09,0.664956210136296
23,frailty,C,0,0.5,0,4,50,0.665896382210331,0.665896376490486,5.71984493102917e-09,0.664956210136296
23,frailty,C,0,0.5,0,4,54,0.664942574934925,0.664942569183964,5.75096015253962e-09,0.664956210136296
23,frailty,C,0,0.5,0,4,58,0.664029673263631,0.664029667482784,5.78084746738483e-09,0.664956210136296
24,frailty,C,0,0.5,0,10,50,0.665896382210362,0.665896376490498,5.7198642489098e-09,0.664956210136313
24,frailty,C,0,0.5,0,10,54,0.664942574934938,0.664942569183929,5.75100955746422e-09,0.664956210136313
24,frailty,C,0,0.5,0,10,58,0.66402967326364,0.664029667482782,5.78085790348126e-09,0.664956210136313
