auc_cell_id,phase,regime,gamma,theta,delta,entry_sd,replicate,outer_seed,bootstrap_seed,method,strict_target_summary_auc,rows,events,subjects,estimate,estimated_se,covered,reject_half,converged,error
1,focused,B,-4,0,0,0.25,21,1200002021,1800007021,strict,0.606017101990918,1615,134,638,0.634303623915952,0.0333587840084865,1,1,1,""
1,focused,B,-4,0,0,0.25,21,1200002021,1800008021,delayed,0.606017101990918,1725,138,646,0.649147927279956,0.0367828888368597,1,1,1,""
1,focused,B,-4,0,0,0.25,22,1200002022,1800006022,naive,0.606017101990918,1748,153,643,0.543514078479892,0.0352504992895226,1,0,1,""
1,focused,B,-4,0,0,0.25,22,1200002022,1800007022,strict,0.606017101990918,1614,147,633,0.527550242644633,0.0324197587002966,0,0,1,""
1,focused,B,-4,0,0,0.25,22,1200002022,1800008022,delayed,0.606017101990918,1747,153,643,0.542489480996452,0.0368947831289062,1,0,1,""
1,focused,B,-4,0,0,0.25,23,1200002023,1800006023,naive,0.606017101990918,1744,124,636,0.647205842541174,0.0371888566935625,1,1,1,""
1,focused,B,-4,0,0,0.25,23,1200002023,1800007023,strict,0.606017101990918,1637,123,632,0.621058286391061,0.0330339220853134,1,1,1,""
1,focused,B,-4,0,0,0.25,23,1200002023,1800008023,delayed,0.606017101990918,1744,124,636,0.646338070210583,0.0287549320789312,1,1,1,""
1,focused,B,-4,0,0,0.25,24,1200002024,1800006024,naive,0.606017101990918,1789,147,666,0.664981432297495,0.0305764934899554,1,1,1,""
1,focused,B,-4,0,0,0.25,24,1200002024,1800007024,strict,0.606017101990918,1679,145,659,0.645496668673816,0.0324331798130916,1,1,1,""
1,focused,B,-4,0,0,0.25,24,1200002024,1800008024,delayed,0.606017101990918,1789,147,666,0.664055716778382,0.0285623305150052,0,1,1,""
1,focused,B,-4,0,0,0.25,25,1200002025,1800006025,naive,0.606017101990918,1767,165,654,0.590881647152542,0.0335707784751564,1,1,1,""
1,focused,B,-4,0,0,0.25,25,1200002025,1800007025,strict,0.606017101990918,1658,159,643,0.591494965635309,0.0335471181694269,1,1,1,""
1,focused,B,-4,0,0,0.25,25,1200002025,1800008025,delayed,0.606017101990918,1767,165,654,0.590607362432228,0.0340810465358586,1,1,1,""
1,focused,B,-4,0,0,0.25,26,1200002026,1800006026,naive,0.606017101990918,1790,182,662,0.642594622189845,0.0280323177763057,1,1,1,""
1,focused,B,-4,0,0,0.25,26,1200002026,1800007026,strict,0.606017101990918,1679,178,661,0.627768811562976,0.0305472631527976,1,1,1,""
1,focused,B,-4,0,0,0.25,26,1200002026,1800008026,delayed,0.606017101990918,1790,182,662,0.642153676008079,0.0296437350920044,1,1,1,""
1,focused,B,-4,0,0,0.25,27,1200002027,1800006027,naive,0.606017101990918,1814,160,657,0.56674684410535,0.0284316454300416,1,1,1,""
1,focused,B,-4,0,0,0.25,27,1200002027,1800007027,strict,0.606017101990918,1714,158,654,0.550875473458288,0.0279424593892074,0,0,1,""
1,focused,B,-4,0,0,0.25,27,1200002027,1800008027,delayed,0.606017101990918,1814,160,657,0.566389526118819,0.0324005801549636,1,1,1,""
1,focused,B,-4,0,0,0.25,28,1200002028,1800006028,naive,0.606017101990918,1749,158,651,0.653934977979657,0.0291464810146057,1,1,1,""
1,focused,B,-4,0,0,0.25,28,1200002028,1800007028,strict,0.606017101990918,1653,156,648,0.640662338155442,0.0318642989670708,1,1,1,""
1,focused,B,-4,0,0,0.25,28,1200002028,1800008028,delayed,0.606017101990918,1749,158,651,0.653652937924608,0.0311085415134725,1,1,1,""
1,focused,B,-4,0,0,0.25,29,1200002029,1800006029,naive,0.606017101990918,1830,141,669,0.601000413567529,0.032282234572359,1,1,1,""
1,focused,B,-4,0,0,0.25,29,1200002029,1800007029,strict,0.606017101990918,1716,137,666,0.590624796631746,0.0387896472891186,1,1,1,""
1,focused,B,-4,0,0,0.25,29,1200002029,1800008029,delayed,0.606017101990918,1830,141,669,0.600644106407566,0.0324079557014793,1,1,1,""
1,focused,B,-4,0,0,0.25,30,1200002030,1800006030,naive,0.606017101990918,1765,127,657,0.550644603149702,0.0385348740361149,1,0,1,""
1,focused,B,-4,0,0,0.25,30,1200002030,1800007030,strict,0.606017101990918,1669,125,654,0.533923681030103,0.0372086010315237,1,0,1,""
